date,fiscal_year,ores_minerals_export_cr,ores_minerals_import_cr
2017-01-01,2016,16069.47,115417.67
2017-02-01,2016,2526.949999999999,15600.240000000005
2017-03-01,2016,3232.0300000000025,14159.76000000001
2017-04-01,2017,2123.64,15777.95
2017-05-01,2017,1651.8200000000002,15665.95
2017-06-01,2017,1110.9300000000003,14915.199999999997
2017-07-01,2017,1469.33,14514.93
2017-08-01,2017,1551.1599999999999,14660.380000000005
2017-09-01,2017,1466.9299999999994,15243.539999999994
2017-10-01,2017,1514.9400000000005,18474.26000000001
2017-11-01,2017,1954.6200000000008,18396.54999999999
2017-12-01,2017,1984.369999999999,17954.430000000008
2018-01-01,2017,1935.7300000000014,20221.5
2018-02-01,2017,1950.239999999998,17244.380000000005
2018-03-01,2017,2594.6399999999994,21563.03
2018-04-01,2018,1820.64,21100.71
2018-05-01,2018,1834.39,18063.230000000003
2018-06-01,2018,1964.0700000000002,19551.839999999997
2018-07-01,2018,1500.9899999999998,19233.869999999995
2018-08-01,2018,1626.0,19772.90000000001
2018-09-01,2018,2125.6399999999994,18720.569999999992
2018-10-01,2018,2235.040000000001,21763.800000000017
2018-11-01,2018,2207.5200000000004,20566.099999999977
2018-12-01,2018,2246.279999999999,21028.130000000005
2019-01-01,2018,2378.9799999999996,19435.170000000013
2019-02-01,2018,2286.2700000000004,17762.51999999999
2019-03-01,2018,25439.120000000003,17973.649999999994
2019-04-01,2019,2357.9,19503.07
2019-05-01,2019,2778.6699999999996,20589.699999999997
2019-06-01,2019,2482.21,17187.140000000007
2019-07-01,2019,3242.04,17300.84999999999
2019-08-01,2019,3375.74,14905.560000000012
2019-09-01,2019,2687.1099999999988,13945.429999999993
2019-10-01,2019,2361.0800000000017,14115.949999999997
2019-11-01,2019,2476.380000000001,15183.270000000004
2019-12-01,2019,2610.1899999999987,16386.880000000005
2020-01-01,2019,2895.920000000002,15413.949999999983
2020-02-01,2019,2377.8799999999974,15140.140000000014
2020-03-01,2019,17972.98,13862.869999999995
2020-04-01,2020,2485.3,11095.21
2020-05-01,2020,4296.87,12185.060000000001
2020-06-01,2020,3676.0699999999997,9734.280000000002
2020-07-01,2020,3789.6100000000006,9634.309999999998
2020-08-01,2020,3869.050000000001,9823.580000000002
2020-09-01,2020,3176.16,13082.5
2020-10-01,2020,3403.649999999998,14079.720000000001
2020-11-01,2020,3497.510000000002,14419.929999999993
2020-12-01,2020,3732.739999999998,15048.059999999998
2021-01-01,2020,5161.1500000000015,16945.87000000001
2021-02-01,2020,4541.529999999999,12389.809999999983
2021-03-01,2020,10439.949999999997,16014.370000000024
2021-04-01,2021,5872.47,19617.29
2021-05-01,2021,5639.13,19491.86
2021-06-01,2021,5148.99,17920.409999999996
2021-07-01,2021,4345.34,18958.0
2021-08-01,2021,2731.970000000001,20103.40000000001
2021-09-01,2021,2273.0099999999984,22490.369999999995
2021-10-01,2021,2422.920000000002,30766.67
2021-11-01,2021,1802.199999999997,34091.56
2021-12-01,2021,2892.0,27877.690000000002
2022-01-01,2021,3599.779999999999,26230.48000000001
2022-02-01,2021,3319.1800000000003,27722.149999999994
2022-03-01,2021,5274.380000000005,39542.390000000014
2022-04-01,2022,5308.91,43695.9
2022-05-01,2022,3382.380000000001,49037.88
2022-06-01,2022,2429.0899999999983,59980.72
2022-07-01,2022,2336.6900000000005,47642.359999999986
2022-08-01,2022,1851.210000000001,42373.71000000002
2022-09-01,2022,2182.2199999999993,34274.47999999998
2022-10-01,2022,2256.3600000000006,31853.02000000002
2022-11-01,2022,1650.1499999999978,35702.48999999999
2022-12-01,2022,3150.9900000000016,33318.22999999998
2023-01-01,2022,4053.4000000000015,27405.27000000002
2023-02-01,2022,5037.169999999998,30528.75
2023-03-01,2022,5453.970000000001,36266.95000000001
2023-04-01,2023,4669.79,33345.36
2023-05-01,2023,4143.54,44428.53999999999
2023-06-01,2023,3425.2800000000007,35454.0
2023-07-01,2023,3296.1099999999988,29018.95000000001
2023-08-01,2023,3591.289999999999,28362.48999999999
2023-09-01,2023,3946.84,25175.03
2023-10-01,2023,3390.380000000001,34011.77000000002
2023-11-01,2023,5100.720000000001,35308.21999999997
2023-12-01,2023,6940.27,34880.92000000004
2024-01-01,2023,6879.279999999999,32553.089999999967
2024-02-01,2023,5442.07,33263.40000000002
2024-03-01,2023,4589.370000000003,33009.92999999999
2024-04-01,2024,2842.03,30518.68
2024-05-01,2024,4571.1900000000005,35429.87
2024-06-01,2024,4337.579999999999,31830.14
2024-07-01,2024,3899.620000000001,31917.770000000004
2024-08-01,2024,2688.0300000000007,32271.430000000008
2024-09-01,2024,2785.6399999999994,26091.129999999976
2024-10-01,2024,3693.779999999999,28532.51000000001
2024-11-01,2024,2623.470000000001,27169.26000000001
2024-12-01,2024,4088.9399999999987,26214.850000000006
2025-01-01,2024,4003.6399999999994,33892.630000000005
2025-02-01,2024,4581.220000000001,25334.459999999963
2025-03-01,2024,5010.029999999999,26342.410000000033
2025-04-01,2025,3557.31,32311.35
2025-05-01,2025,3930.89,30105.54
2025-06-01,2025,3386.2300000000005,30296.78
2025-07-01,2025,3263.959999999999,31251.100000000006
2025-08-01,2025,3285.260000000002,27592.42
2025-09-01,2025,3547.0,27241.01000000001
2025-10-01,2025,3545.029999999999,31305.03999999998
