month,origin,destination,bdry_proxy,distance_nm,origin_ais_coverage,destination_ais_coverage,origin_portcalls_dry_bulk,destination_portcalls_dry_bulk,origin_portcalls_cargo,destination_portcalls_cargo,origin_portcalls,destination_portcalls,origin_import_dry_bulk,destination_import_dry_bulk,origin_export_dry_bulk,destination_export_dry_bulk,origin_import_cargo,destination_import_cargo,origin_export_cargo,destination_export_cargo
2019-01-01,Newcastle,Paradip,16.44935509466356,4908.447607208709,1,1,172.0,66.0,196.0,69.0,211.0,80.0,515695.78955609543,853087.2767961596,6420872.9489320405,859479.6549848311,553256.3207489401,859465.7080218187,6471620.663866433,866857.4050127149
2019-01-01,Newcastle,Visakhapatnam,16.44935509466356,4965.182360019742,1,1,172.0,106.0,196.0,137.0,211.0,177.0,515695.78955609543,2677822.5841962206,6420872.9489320405,480152.6503765485,553256.3207489401,2744959.4717128747,6471620.663866433,609261.7888830345
2019-01-01,Newcastle,Gangavaram,16.44935509466356,4962.563099109431,1,0,172.0,0.0,196.0,0.0,211.0,0.0,515695.78955609543,0.0,6420872.9489320405,0.0,553256.3207489401,0.0,6471620.663866433,0.0
2019-01-01,Newcastle,Gopalpur,16.44935509466356,4948.901269878589,1,0,172.0,0.0,196.0,0.0,211.0,0.0,515695.78955609543,0.0,6420872.9489320405,0.0,553256.3207489401,0.0,6471620.663866433,0.0
2019-01-01,Newcastle,Dhamra,16.44935509466356,4918.669175376264,1,1,172.0,24.0,196.0,25.0,211.0,25.0,515695.78955609543,422941.79180967464,6420872.9489320405,163125.26485413234,553256.3207489401,422941.79180967464,6471620.663866433,165395.8722497004
2019-01-01,Newcastle,Sagar Sandheads,16.44935509466356,4888.640025844774,1,0,172.0,0.0,196.0,0.0,211.0,0.0,515695.78955609543,0.0,6420872.9489320405,0.0,553256.3207489401,0.0,6471620.663866433,0.0
2019-01-01,Newcastle,Haldia,16.44935509466356,4918.431441397695,1,1,172.0,71.0,196.0,105.0,211.0,145.0,515695.78955609543,614709.1625362332,6420872.9489320405,328396.14828155184,553256.3207489401,637459.0244721926,6471620.663866433,360355.3251715195
2019-01-01,Newcastle,Chennai,16.44935509466356,4933.563252451343,1,1,172.0,15.0,196.0,99.0,211.0,152.0,515695.78955609543,276850.6667468079,6420872.9489320405,59164.173752798466,553256.3207489401,897913.5331393647,6471620.663866433,135441.37398561413
2019-01-01,Newcastle,Kamarajar,16.44935509466356,4936.2909413416,1,1,172.0,35.0,196.0,51.0,211.0,75.0,515695.78955609543,1097391.585180301,6420872.9489320405,69853.88271116445,553256.3207489401,1154324.4244931662,6471620.663866433,88157.03220697634
2019-01-01,Newcastle,Tuticorin,16.44935509466356,4883.104015654771,1,1,172.0,35.0,196.0,97.0,211.0,113.0,515695.78955609543,893271.4495205415,6420872.9489320405,28533.240208708172,553256.3207489401,1012091.7065674402,6471620.663866433,69481.25362349965
2019-01-01,Hay Point,Paradip,16.44935509466356,4438.980614962645,1,1,112.0,66.0,112.0,69.0,112.0,80.0,24977.44751939473,853087.2767961596,6203248.7956615165,859479.6549848311,24977.44751939473,859465.7080218187,6203248.7956615165,866857.4050127149
2019-01-01,Hay Point,Visakhapatnam,16.44935509466356,4534.810562385228,1,1,112.0,106.0,112.0,137.0,112.0,177.0,24977.44751939473,2677822.5841962206,6203248.7956615165,480152.6503765485,24977.44751939473,2744959.4717128747,6203248.7956615165,609261.7888830345
2019-01-01,Hay Point,Gangavaram,16.44935509466356,4532.609545267577,1,0,112.0,0.0,112.0,0.0,112.0,0.0,24977.44751939473,0.0,6203248.7956615165,0.0,24977.44751939473,0.0,6203248.7956615165,0.0
2019-01-01,Hay Point,Gopalpur,16.44935509466356,4496.7515761401155,1,0,112.0,0.0,112.0,0.0,112.0,0.0,24977.44751939473,0.0,6203248.7956615165,0.0,24977.44751939473,0.0,6203248.7956615165,0.0
2019-01-01,Hay Point,Dhamra,16.44935509466356,4444.086655867617,1,1,112.0,24.0,112.0,25.0,112.0,25.0,24977.44751939473,422941.79180967464,6203248.7956615165,163125.26485413234,24977.44751939473,422941.79180967464,6203248.7956615165,165395.8722497004
2019-01-01,Hay Point,Sagar Sandheads,16.44935509466356,4405.321769234449,1,0,112.0,0.0,112.0,0.0,112.0,0.0,24977.44751939473,0.0,6203248.7956615165,0.0,24977.44751939473,0.0,6203248.7956615165,0.0
2019-01-01,Hay Point,Haldia,16.44935509466356,4428.578777581251,1,1,112.0,71.0,112.0,105.0,112.0,145.0,24977.44751939473,614709.1625362332,6203248.7956615165,328396.14828155184,24977.44751939473,637459.0244721926,6203248.7956615165,360355.3251715195
2019-01-01,Hay Point,Chennai,16.44935509466356,4559.573045954157,1,1,112.0,15.0,112.0,99.0,112.0,152.0,24977.44751939473,276850.6667468079,6203248.7956615165,59164.173752798466,24977.44751939473,897913.5331393647,6203248.7956615165,135441.37398561413
2019-01-01,Hay Point,Kamarajar,16.44935509466356,4560.388591986704,1,1,112.0,35.0,112.0,51.0,112.0,75.0,24977.44751939473,1097391.585180301,6203248.7956615165,69853.88271116445,24977.44751939473,1154324.4244931662,6203248.7956615165,88157.03220697634
2019-01-01,Hay Point,Tuticorin,16.44935509466356,4561.887265643387,1,1,112.0,35.0,112.0,97.0,112.0,113.0,24977.44751939473,893271.4495205415,6203248.7956615165,28533.240208708172,24977.44751939473,1012091.7065674402,6203248.7956615165,69481.25362349965
2019-01-01,Gladstone,Paradip,16.44935509466356,4610.070819233946,1,1,113.0,66.0,124.0,69.0,165.0,80.0,582881.0973067206,853087.2767961596,4074022.287955368,859479.6549848311,582881.0973067206,859465.7080218187,4182276.6447841944,866857.4050127149
2019-01-01,Gladstone,Visakhapatnam,16.44935509466356,4699.923201569712,1,1,113.0,106.0,124.0,137.0,165.0,177.0,582881.0973067206,2677822.5841962206,4074022.287955368,480152.6503765485,582881.0973067206,2744959.4717128747,4182276.6447841944,609261.7888830345
2019-01-01,Gladstone,Gangavaram,16.44935509466356,4697.649661880508,1,0,113.0,0.0,124.0,0.0,165.0,0.0,582881.0973067206,0.0,4074022.287955368,0.0,582881.0973067206,0.0,4182276.6447841944,0.0
2019-01-01,Gladstone,Gopalpur,16.44935509466356,4665.276604430285,1,0,113.0,0.0,124.0,0.0,165.0,0.0,582881.0973067206,0.0,4074022.287955368,0.0,582881.0973067206,0.0,4182276.6447841944,0.0
2019-01-01,Gladstone,Dhamra,16.44935509466356,4615.952185699621,1,1,113.0,24.0,124.0,25.0,165.0,25.0,582881.0973067206,422941.79180967464,4074022.287955368,163125.26485413234,582881.0973067206,422941.79180967464,4182276.6447841944,165395.8722497004
2019-01-01,Gladstone,Sagar Sandheads,16.44935509466356,4578.415949158848,1,0,113.0,0.0,124.0,0.0,165.0,0.0,582881.0973067206,0.0,4074022.287955368,0.0,582881.0973067206,0.0,4182276.6447841944,0.0
2019-01-01,Gladstone,Haldia,16.44935509466356,4602.652098239085,1,1,113.0,71.0,124.0,105.0,165.0,145.0,582881.0973067206,614709.1625362332,4074022.287955368,328396.14828155184,582881.0973067206,637459.0244721926,4182276.6447841944,360355.3251715195
2019-01-01,Gladstone,Chennai,16.44935509466356,4715.089482331832,1,1,113.0,15.0,124.0,99.0,165.0,152.0,582881.0973067206,276850.6667468079,4074022.287955368,59164.173752798466,582881.0973067206,897913.5331393647,4182276.6447841944,135441.37398561413
2019-01-01,Gladstone,Kamarajar,16.44935509466356,4716.24792882813,1,1,113.0,35.0,124.0,51.0,165.0,75.0,582881.0973067206,1097391.585180301,4074022.287955368,69853.88271116445,582881.0973067206,1154324.4244931662,4182276.6447841944,88157.03220697634
2019-01-01,Gladstone,Tuticorin,16.44935509466356,4707.65596855853,1,1,113.0,35.0,124.0,97.0,165.0,113.0,582881.0973067206,893271.4495205415,4074022.287955368,28533.240208708172,582881.0973067206,1012091.7065674402,4182276.6447841944,69481.25362349965
2019-01-01,Norfolk,Paradip,16.44935509466356,7244.966602492362,1,1,34.0,66.0,109.0,69.0,115.0,80.0,62824.17700074281,853087.2767961596,895476.710884047,859479.6549848311,219074.73694797125,859465.7080218187,1140980.5042083657,866857.4050127149
2019-01-01,Norfolk,Visakhapatnam,16.44935509466356,7333.015396925198,1,1,34.0,106.0,109.0,137.0,115.0,177.0,62824.17700074281,2677822.5841962206,895476.710884047,480152.6503765485,219074.73694797125,2744959.4717128747,1140980.5042083657,609261.7888830345
2019-01-01,Norfolk,Gangavaram,16.44935509466356,7336.451298237067,1,0,34.0,0.0,109.0,0.0,115.0,0.0,62824.17700074281,0.0,895476.710884047,0.0,219074.73694797125,0.0,1140980.5042083657,0.0
2019-01-01,Norfolk,Gopalpur,16.44935509466356,7273.6865960313535,1,0,34.0,0.0,109.0,0.0,115.0,0.0,62824.17700074281,0.0,895476.710884047,0.0,219074.73694797125,0.0,1140980.5042083657,0.0
2019-01-01,Norfolk,Dhamra,16.44935509466356,7218.630428751711,1,1,34.0,24.0,109.0,25.0,115.0,25.0,62824.17700074281,422941.79180967464,895476.710884047,163125.26485413234,219074.73694797125,422941.79180967464,1140980.5042083657,165395.8722497004
